username,text,label
yummyfeels_,@GOAL_ID @BungTowel STY dari ranking 173 sekarang jadi 134. dari gapernah lolos 16 besar jadi lolos 16 besar. di piala asia berani main build up berani pegang bola gak long pass. pakai usia muda beberapa pemain lokal selalu masuk line up. adaptif dalam taktikal.,0
SerieA_Lawas,Bung Towel Bung Towel. Denial banget. Hati-hati kena cancel culture.,0
satriiobudi,@ainurohman Setuju @BungTowel sdh menunjukkan sbg Pembenci/ Hater bkn pengamat/ kritikus. yg sll di sorot hny STY ada masalah personal sptny/ gengsi sj krn sdh msk terlalu dlm? Timnas menang lawan Vietnam gak ad gestur positif aneh ini org sbg warga negara Indonesia yg cinta sepak bola,0
bbiiaan_,@idextratime @bliblidotcom lagi lagi sty pecahin rekor hahaha mampus lo towel anjing,1
cabangpurnamaaa,SEDERHANA TAPI SI TOWEL BANGSAT GAK SUKA,1
alfihihihi,@The_RedsIndo Bung towel mati aja bgsd udah tua juga ngentoddd,1
rofiqabror,@GOAL_ID gausah kasih panggung statement bung towel min biarin aja. lama2 juga redup.,0
Kewerans_Crew,@Miduk17 Bajingan mingkemo asu. Harian mu cuma bisa nyinyirin Jokowi juga. Mulut kau kaya tai sama aja dengan si towel. Bangsat,1
pixikkk,@idextratime @bliblidotcom MAMPUS LU ANJING TOWEL,1
arif8270,@GOAL_ID Masi inget gak bung towel witan gak ngegolin di gawang kosong thailand? Pakai pemain seadanya bsa create peluang bagus tpi finishing pemain yg jelek. Skarg ada naturalisasi baru lancar skemanya,0
izoelsaka,@GOAL_ID Bung towel itu gk mau timnas maju nanti gk bisa ngomentarin kesalahan timnas,0
PrastyaJakka,@indosupporter Penghianat bangsa nih si towel ,1
Onethousand_D,@seniman_bola mari kita cancel bung towel ini di manapun di undang jangan di bikin rame.,0
Kawachiii53,@ainurohman Kenapa bung towel jd aneh?,0
akroy_,@indosupporter towel anjing cocot ae lo,1
suksmasasmita26,@SerieA_Lawas Halah impostor kaya bung towel gak usah diladeni. Kasihan beliau uangnya gak cair gegara gak bisa masukkin pemain titipan. Uppss ,0
Z4pnu477,@idextratime @bliblidotcom MAMAM TUHHH GOL TOWEL BANGSAT ANJING KONTOL,1
ydhionugroho,@idextratime @bliblidotcom woii towel ayo bacot lagi dong bangsattt ,1
MEIGPAPS,Towel di Sport 77 ini emang goblok + tolol,1
djoe_effendy,@tirta_cipeng Bung Towel ,0
hidayatev,@ainurohman Mau tanya bekingannya bung towel dkk Kata Kuncinya : Telusuri aja siapa orang LNM yang masih di Exco dan siapa kawan dia yang punya SSB pemasok pemain timnas U17 sampai U20. Lalu telusuri aja siapa orang yang ingin isu pribumi disingkirkan berkembang di masyarakat,0
maspai_jo,@BungTowel Terus jadi makelar pemain titipannya kapan om?,0
fitriyaniE536,Buat opininya di Nalar TV tapi opini yg di berikan bung Towel malah diluar nalar kek mana ini,0
novaladenyy,@medioclubID @idn_abroad towel kontol bacot,1
masukengine,@medioclubID @idn_abroad towel goblok,1
el__piji,@rskuntowiyoga Bung towel kalo nyerah jadinya Lempar towel,0
Mas_antobaldi,@bahaspemainbola @Sport77Official Bacot lo towel anjing,1
soiziee,saking jagonya timnas ampe lupa sama towel anjing ini wkakakak,1
kuproymillenial,@aldapstsr 7.bung towel,0
Aaaamasaiyaaaaa,@BungTowel Kontol goblok lu towel(kontol klewer),1
coronkkk,@KasoKaka @Hamixam titisan towel tolol dan bawel,1
sperma_ori,@BolaBolaAja Towel babi anjing,1
izoelsaka,@SiaranBolaLive Bung towel skip aja,0
Apaajalah171,@weexendgolfer @meongmeong1996 @BolaBolaAja Ttp aja oposisi juga harus objektif lah klo si towel mah gapantes di bilang oposisi kritikannya dia samasekali ga objektif Uda gitu sarannya juga kadang di luar nalar anj pernah dia ngasi saran buat jadiin fahrihuseini pelatih timnas senior ga objektif banget anjing gitu mah,1
Ranggaraka928,Coba lapor ke Bung Towel Capt siapa tahu Bung Tower bisa menjelaskan mengapa legenda timnas Indonesia ga bisa di akses apa karna pelatihnya ,0
miikanorenji,@GOAL_ID Harusnya bung towel seneng kalo STY perpanjang kontrak dia bisa lebih lama pansosnya,0
SyakierMuhammad,@aguruguss @panjiraden Lebih goblok drpd coach Justin karena lu sama tingkah lakunya macem ernanda TOWEL itu ,1
Lutfiazizi141,@yopi_ah Iya iya iya doang towel kontol,1
iampvh,@medioclubID @t10nugroho @HadiGunawan1306 ini Towel apa Tolol sih? Logikanya aneh bgt,1
juliusbona96,@rajippps @indosupporter Kalo soal koci ama towel LO KAYAK PANTAT TAI KONTOL. Klo ama akmal tahir lo bener,1
satboyyybck,Bung towel mana lu anjing,1
runtukanchicken,@ainurohman Bung towel suruh ngelatih undur2 jalan kedepan aja lah,0
Anakula4,@SiaranBolaLive Emang harga pasar bung towel berapa?,0
AditiyaFebria14,di dunia ini pasti ada aja orang yang kaya bung towel,0
julian_and85219,@PorosHalangID @ManUtd_ID Bung towel haters STY... Bang pat haters onana... Padahal ada positif nya tapi yg di inget cuma negatif nya... ,0
maulananby,@SiaranBolaLive Jangan lupakan saran hangat bung towel hahaha karna dengan saran beliau sty semakin semangat untuk membungkam mulut handuk ,0
d5ckyrahman,@basudewadikara @indosupporter Towel kontol,1
krtmlm,@GOAL_ID tapi jujurly orang seperti bung towel ini diperlukan supaya STY terpacu termotivasi mengerahkan segalanya utk membuktikan bhw yg diucapkan bung towel adalah salah. shg timnas bisa berprestasi.,0
nndikap,@idextratime Wasit kontol Qatar kontol towel kontol,1
fikifauzi18,@MafiaWasit Akun favoritnya bung towel nih,0
kittenndrunk,Towel anjing mending diam,1
shutupbitchhh_h,@SerieA_Lawas BENER ANJING NI ORANG TOWEL BANGSAT KEPARAT NGENTOT BAJINGAN,1
HighlightS2945,@Lodeh_kluweh @idextratime @diarioas bung towel,0
717_map,@idextratime Orang tolol sok ngerti bola ya jadinya si towel itu,1
pengenverif,MANA ANJING TOWEL TOLOLL,1
kingmadrid__,@andisvi @idextratime @TimnasIndonesia Bukan ketolong naturalisasi. Emang pemain lokal gak bisa main bola. Barusan nonton matchÂ² timnas kualifikasu piala dunia brazil. Main timnas kek kontol wkwkk. Itulah gambaran pemain lokal kesayangan towel van kontol,1
donmxra,@rizalputrzs @indosupporter Towel itu TO nya tolol,1
rarawxc,@yopi_ah ini dari puluhan orang dibelakang ga ada yg berani timpukin towel pake kursi bar kah? atau tendang kungfu aja pala nya dari belakang alias gedeg gua liat mukanya anjing,1
Tetsuusan,@idextratime @_pauljoyce Bung towel aja angkut,0
ursotacho,@BungTowel towel kontol,1
kejumesissusu,@ainurohman trus banyak udang yg bilang tApikAN kITa BUtuh OpoSIsI kaYAk BuNg tOWeL bedain opisisi sama pendengki aja gabisa,0
lastthirteen_,Bacot ajig si towel,1
akunbarublek,@GOAL_ID nih towel deportasi aja dah anjing cape gua,1
rifaaii_,@SiaranBolaLive @GOAL_ID Ketik 1 biar bung towel cepet mati,1
seccurell,@UpdateBolabola Asli goblok kalo kontrak STY ga diperpanjang garaÂ² bukan turnamen resmi FIFA gagal penuhi target. Atau janganÂ² bung Towel yang jadi penasihat pribadinya ET,1
sel_ajalah,@medioclubID @t10nugroho @HadiGunawan1306 @BungTowel statement paling goblok dr manusia setengah handuk. towel anj,1
PerihalAngan,towel ni gimik apa beneran tolol ya ,1
wildanlapulga93,@idextratime @bliblidotcom Kita tunggu komentator towel bangsat,1
DistorsiRasa,@BolaBolaAja Towel anjing,1
wahyunulis,Ini lebih menarik daripada koment2nya bung towel x bung maharli bwang?,0
luckysatriab,Mudah2an org ini @BungTowel jd pundit gelandangan terus ,0
4mod_,@ainurohman Periuk nasi bung towel terganggu kah?,0
lvx_hp,@niamjuve @GOAL_ID yang anjing si towel,1
nguyenkhan56,@straderubber @BungTowel EMANG TOLOL TUH SI TOWEL MAH,1
Aditwitjaksono_,Towel iki tau gak seh ndelok liga 1 terus onok a tim liga 1 seng main e enak? Muesti opini goblok seng metu,1
Shiryu_Doragon_,@ignasiusen Wong iki a @BungTowel ?,0
smthwthyou,@ardibhironx @SiaranBolaLive towel ini oposan timnas walau opininya goblok semua,1
angrhrmdni19,@GOAL_ID Tolong malaysia klaim bung towel free,0
FabrizioRohmat,@SiaranBolaLive Yg namanya @BungTowel tolong di naturalisasi sama malaysia dong,0
Aice3146,@idextratime @David_Ornstein aowkwkkwkw fix bung towel pelatih ipuel musim depan @jamoortiram,0
irvannajams,@GOAL_ID @BungTowel puasa2 marai emosi om2 gaguna,0
andika_suleman,@GOAL_ID Sebenernya bung Towel ini siapa sih ya? Hanya pengamat saja atau ada jabatan kah? Seriusan nanya..,0
IkhsanRizkian,@SerieA_Lawas Paling bener ngidolain Bung tewel (Toto tewel elpamas) daripada Bung Towel was https://t.co/7LqgHKUZNR,0
leblanchocolate,@barcastap Towel anjing,1
nzrdn_nr,@CoachJustinL @ernandaputra Koci kalo sama Lia mau tes DNA tolong ajak ernanda sama bung towel.....saya curiga mereka sebenarnya ada hubungan darah,0
dickyoktavianoo,@SiaranBolaLive @GOAL_ID Bung towel ni benci banget sama sty kenapa si?,0
pasticandy,Kategori orang &amp; kelompok yg anti kritik anti satire merasa paling benar &amp; susah dikasi tau A. Kelompok orang: - Pendukung Anies - BLINK (Fans Blackpink) B. Individu: - Towel Bung Han Doek (ngakunya pengamat bola) - Ernanda Putra (Designer magang Erspo),0
yummyfeels_,@GOAL_ID @BungTowel STY gak diperpanjang kemudian masuk pelatih lokal segerbong dengan apa yg lu inginkan. seorang pembenci tetaplah pembenci. susah menerima fakta STY berprestasi dengan mengangkat timnas. STY pencitraan? lu aja yg iri kalau STY dapat sorotan karena prestasi.,0
Awanglocs,@medioclubID @idn_abroad towel anjing,1
sunsmori,@GOAL_ID Towel anjing orang kaya gini jgn disorot terus biar pelan2 mati sendiri,1
indrahasto,Anjing bgt yah tuh Bung Towel... beneran ga seneng lho Indonesia ngegolin... Yg gini ini yg layak disuruh pindah negara...,1
bumblejii,@idextratime sama bung towel,0
indrawhan,@indosupporter kenapa gak ada yg jitak pala bung towel sambil bilang lu negara sendiri menang malah cemberut anjing ,1
Pent1Lp1nk,Tapi towel gak ngakuin kalo kita udah maju :( @BungTowel Apa towel asalnya dari nguyen ya?,0
jeremiatarulii,@indosupporter bung towel kek babi skrng anjing,1
abangnyacamarda,Bung towel anjing emang denial banget haha,1
TheIndoLad,@medioclubID Tapi ada akun Twitternya @BungTowel,0
InfosuporterID,@GOAL_ID Sedikit lebih beda lebih baik daripada sedikit lebih baik Awalnya Bung Towel mungkin makai prinsip itu lama lama bedanya jadi jauh malah lawan arah :),0
Richardtalkk,hahaha titipan lo ga di lirik STY TOWEL GOBLOK,1
faris11jr,@kamil5b Lawan bacotnya aja bung towel tp dikatain streamer ,0
enhayespa,Bung towel nih pernah ketemu coach Shin gak sih? Face to face? Utarakan opini 'berbeda' beliau langsung didepan orangnya jangan lewat media lol.,0
BudiBimCel,@BungTowel Klo pun iya anda posisikan diri anda sbagai komentator sudah selayaknya ketika timnas bermain manang dikandang lawan anda turut bahagia. Saya sangat suka anda laku dipopcast aja buat TV nasional jangan pernah kasih panggung lagi deh buat pengamat tarkam ini,0
ichwank94,@GOAL_ID Bung towel bukan penggemar timnas pastinya!..ga usah didengarlah,0
dwiiandre2603,@SiaranBolaLive Sederhana tapi bikin bung towel dan anda marah wkwk,0
Putraa1923Putra,@BolaBolaAja Bangsat itu towel. Suruh dipindah ke vietnam aja bangke,1
aulianatasyaa,@ainurohman Dulu suka banget analisa Bung Towel kalau timnas main di RCT* atau konten-konten gocek bung towel. Sekarang kok malah begini yaa.,0
xxxsbswan,@GOAL_ID Towel nih asli levelnya udah jatuh jadi pembenci sih pemain keturunan semua rekomendasi sty yang pilih sty yang nyari sampe pelosok Belanda sty tanpa sty federasi dan agen gabisa loby2 mereka goblok.,1
painstation_,Bisa2 nya timnas ngegolin dia gak teriak. Emang iri dengki towel anjing ni,1
septidermen,@BungTowel Towel (Tolol dan rewel),1
MArifPribadi1,@unmagnetism Towel anjing,1
AditiyaGilangF,@RakhaStevhira @medioclubID @idn_abroad Wkwk bung towel mnt d lempar anduk,0
chaniagogogogo,@BolaBolaAja Orang kaya towel ini kalo mati aja bisa gak sih?,1
silvaaa100,@SiaranBolaLive yahh bung sapto mah lawannya sekelas coach justin bukan sekelas bung towel ,0
MuhRifky_S,@Spidermegu @SonyAndrio @BungTowel TOLOL!!! Sebut saja Towel TOLOL mas kaya saya gini loh gausah takut ,1
anzphotoart,@detiksport Hore.... Pov bung towel,0
031_Jkt48,Bung towel iki mending cocok e dodolan tewel ae,0
abdee17,@medioclubID @t10nugroho @HadiGunawan1306 Towel kontol,1
tom_riyanto47,@medioclubID @t10nugroho @HadiGunawan1306 Mungkin inisial namanya lebih pas jika disingkat Tolol bukan Towel.,1
Gustek1312,@thejurgenholic @bliblidotcom Gimana kalo coach fakhri gen nanti u sahabatan sama bung towel &amp; akmal,0
dhimaz_rio2182,@ainurohman Towel sama bung binder enakan bung binder kalau soal komentator,0
Taufik_reza,@idextratime @_pauljoyce Bung towel coba pilih pool..lumayan pilih pemain lokal pride..wkwk,0
baaaatsy,@BungTowel fafifu wasweswos,0
SmittyW53608804,@GOAL_ID @BungTowel ini orang maunya apa si aslinya,0
YunicoArdian,@SiaranBolaLive bung towel makin mencak mencak tuh,0
lutfial_karoni,towel kontol,1
smokeeybbq,towel kontol liat tu anjing. pemain keturunan nih bos!,1
aniblogsan52394,@fnl_691 @joandreko @GOAL_ID makanya heran yang menghujat bung towel. saya yakin bung towel gak begini dulu aja gak begini tapi mungkinb biar beda kayak pandit lain sekaligus dapat atensi ya ambil jalan jadi villain,0
Bayu_Ramadhaan,@indosupporter towel mati sekalian,1
amoeba4669,Bung towel TOLOL PICEK BUDEK hatinya Cox... Asu .. ðŸ‡®ðŸ‡©,1
krenyitbarbar,@FCBarcelona Admin tim lu gajelas wel @BungTowel,0
urkindezz,@idextratime besok kalo si kontol towel ngoceh ngoceh kita gebukin aja dah,1
Senjasore2019,@GOAL_ID bung towel seakan tutup mata dengan capaian STY dan hanya menuntut TROFI. kalo pelatih timnas berpatokan hanya trofi dan trofi yg dikejar AFF noh liat timnas singapura menang 4x AFF tapi nihil dikancar ASIA. semakin kesini semakin ente ini org yg cuma pandai kritik.,0
wayyyyyz,sebenernya bung towel ini siapa ya?? serius nanya dan semua org tau dia trs kenapa dia kek benci gt ke sty???,0
HafizhArrr,@SiaranBolaLive Towel goblok! nek goblok ojo nemen lee,1
ArfinHS,Semakin ke sini bung towel ini opininya semakin ga bermutu. Padahal daridulu dia salah satu pundit yang sangat oke loh. Apa jangan2 dia sengaja didesain untuk jadi public enemy ya supaya supporter tidak terpecah belah dan semua satu suara madep mantep nderek STY ,0
Willy_andrianst,Si towel lemes anjing Sia mah orang bagdad towel,1
CreativeWC85,@BungTowel ngasih prediksi kok nanggung... tuh lihat 3-0 malah....,0
krath___,@BolaBolaAja towel nih anjing juga ya,1
Ko2Ranger,@Cincupaka @utdabout Anak didik Bung Towel sih elu ,0
drunkenmeifter,TOWEL KONTOL,1
Mahardikhaaa,wkwkwkw towel goblok,1
Unggul05627343,@LalajoPersib @davidasilva07 @teddy_tjahjono @glennsugita Harusnya bung towel nynyirin yg kayak gini nich,0
lingzz_18,@manamanama3465 @SiaranBolaLive BACOT SEPONG SONO TITIT TOWEL,1
subiewerk,Bacot towel kontlo,1
tudeebgs,@zaki_irfan26 @arrapradipta @bgshdr @gilabola_ina Bacot lu kacung towel anjing,1
Tumio95,@yopi_ah TOWEL !! KONTOL LA SAMA KAU,1
Vacadayneeded,@medioclubID @t10nugroho @HadiGunawan1306 Towel Tnya Tolol ,1
yourseamonster,@GOAL_ID Bung towel ni goblok namanya team ya pasti bantu sty kau liat aja yg kerjain patung terbesar di Bali ada ratusan seniman tapi hanya 1 seniman yg di sebut goblo,1
IvanFrontNew,@SiaranBolaLive Pekerjaan towel hanya Bacot gtu masih dikasih uang produksi bodoh bener,1
Erlz_,@wahyunulis bung towel itu buat check and balance kayak ganjar pranowo bwang,0
